latitude,longitude,X_meters,Y_meters
46.8517864,38.7095608,705824.9055815829,-864816.5129802191
46.8670183,38.6867206,707361.3219002903,-867177.6367890728
46.8637844,38.6867317,707082.6862221346,-867205.5458065344
46.8607371,38.6867421,706820.1267675647,-867231.8404446349
46.8671707,38.7022267,707221.7502023078,-865480.2974767233
46.8639457,38.7022378,706943.9410836058,-865508.1205816788
46.8609743,38.702248,706687.9760286174,-865533.7486652064
46.8680295,38.7177329,707142.9334210057,-863776.5193942579
46.8649108,38.7177436,706874.3401381266,-863803.4261556228
46.8615996,38.7177549,706589.166476821,-863831.9886548456
46.8583574,38.717766,706309.932820037,-863859.9404226693
46.8552817,38.717666,706046.1243539423,-863898.5361070624
46.8520242,38.7176772,705765.5678252276,-863926.5920097185
46.8498208,38.6865852,705881.4555362837,-867347.1873219785
46.8464491,38.6865968,705590.9337880652,-867376.2188014837
46.8431195,38.6866082,705304.0378121866,-867404.8815731872
46.8398824,38.6866193,705025.1097661381,-867432.7345677714
46.8365945,38.6866305,704741.8029981498,-867461.0210017189
46.8333907,38.6866415,704465.7398355834,-867488.5630337836
46.8301277,38.6866527,704184.5734167777,-867516.6027644963
46.8268095,38.686664,703898.6491446502,-867545.1146424436
46.8444225,38.7083953,705202.2976948037,-865010.1518888334
46.84129,38.7084263,704932.2663672807,-865034.8850114034
46.8380612,38.7084581,704653.9332178598,-865060.3839355004
46.8335951,38.7178815,704176.9128219082,-864069.6809012169
46.8303217,38.717889,703895.0096004683,-864098.2064782559
46.826922,38.7179634,703601.574055499,-864120.5339792322
