latitude,longitude
46.8517864,38.7095608
46.8670183,38.6867206
46.8637844,38.6867317
46.8607371,38.6867421
46.8671707,38.7022267
46.8639457,38.7022378
46.8609743,38.7022480
46.8680295,38.7177329
46.8649108,38.7177436
46.8615996,38.7177549
46.8583574,38.7177660
46.8552817,38.7176660
46.8520242,38.7176772
46.8498208,38.6865852
46.8464491,38.6865968
46.8431195,38.6866082
46.8398824,38.6866193
46.8365945,38.6866305
46.8333907,38.6866415
46.8301277,38.6866527
46.8268095,38.6866640
46.8444225,38.7083953
46.8412900,38.7084263
46.8380612,38.7084581
46.8335951,38.7178815
46.8303217,38.7178890
46.8269220,38.7179634
